ACCE_ABSORB_COST	Costo dell'assorbimento: %d
CATEGORY_ETC_GIFTBOX	Bauli | Pacchi
CATEGORY_ETC_MATRIMORY	Matrimonio
CATEGORY_ETC_PARTI	Libri dell'Arte della guerra
CATEGORY_ETC_POLYMORPH	Sfere trasformazione
CATEGORY_ETC_RECIPE	Produzione pozioni
CATEGORY_ETC_SEAL	Legame dell'anima
CATEGORY_FISHING_PICK	Pesca | Scienza mineraria
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Picconi appuntiti
CATEGORY_FISHING_PICK_ETC	Varie
CATEGORY_FISHING_PICK_FISHING_POLE	Canne da pesca
CATEGORY_FISHING_PICK_FOOD	Pesci
CATEGORY_FISHING_PICK_PICK_BOOK	Libri di scienza mineraria
CATEGORY_FISHING_PICK_STONE	Minerali
CATEGORY_JEWELRY_ARMOR_EAR	Orecchini
CATEGORY_JEWELRY_ARMOR_FOOTS	Scarpe
CATEGORY_JEWELRY_ARMOR_NECK	Collane
CATEGORY_JEWELRY_ARMOR_PENDANT	Talismano
CATEGORY_JEWELRY_ARMOR_WRIST	Bracciali
CATEGORY_JEWELRY_ITEM_BELT	Cinture
CATEGORY_MOUNT_PET	Cavalcature | Pet
CATEGORY_MOUNT_PET_CHARGED_PET	Pet
CATEGORY_MOUNT_PET_EGG	Uova del pet
CATEGORY_MOUNT_PET_FREE_PET	Pet evolvibili
CATEGORY_MOUNT_PET_MOUNT	Cavalcature
CATEGORY_POTION	Pozioni
CATEGORY_POTION_ABILITY	Beni di consumo
CATEGORY_POTION_ETC	Varie
CATEGORY_POTION_HAIRDYE	Colori di capelli
CATEGORY_SKILL	Abilità
CATEGORY_SKILL_BOOK_OF_OBLIVION	Libri dell'Amnesia
CATEGORY_SKILL_ETC	Varie
CATEGORY_SKILL_PAHAE	Contrattacco | Boost
CATEGORY_SKILL_SKILL_BOOK	Libri delle abilità
CATEGORY_TUNING	Miglioramenti
CATEGORY_TUNING_ETC	Varie
CATEGORY_TUNING_RESOURCE	Materiali
CATEGORY_TUNING_STONE	Pietre spirituali
CATEGORY_UNIQUE	Item speciali
CATEGORY_UNIQUE_ABILITY	Beni di consumo
CATEGORY_UNIQUE_ETC	Varie
CATEGORY_WEAPON_WEAPON_ARROW	Frecce
CATEGORY_WEAPON_WEAPON_BELL	Campane
CATEGORY_WEAPON_WEAPON_BOW	Archi
CATEGORY_WEAPON_WEAPON_CLAW	Artigli
CATEGORY_WEAPON_WEAPON_DAGGER	Pugnali
CATEGORY_WEAPON_WEAPON_FAN	Ventagli
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Lance
CATEGORY_WEAPON_WEAPON_QUIVER	Faretre
CATEGORY_WEAPON_WEAPON_SWORD	Arma a una mano
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Armi a due mani
CHANGE_ALREADY_REGISTER	[Proiezione] Questo oggetto è già stato registrato.
CHANGE_LOOK_CHANGE_ITEM	Vuoi proiettarlo?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Proiezione] Prima rimuovi l'oggetto sul quale desideri applicare la proiezione.
CHANGE_LOOK_COST	Prezzo della proiezione: %s Yang
CHANGE_LOOK_DEL_ITEM	L'oggetto assorbito andrà perso.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Proiezione] Questo oggetto non può essere proiettato.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Proiezione] Non puoi proiettare l'oggetto mentre fa parte del tuo equipaggiamento.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Proiezione] Questo oggetto non può essere registrato.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Proiezione] Questo oggetto è legato all'anima.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Proiezione] Registra l'oggetto che desideri proiettare.
CHANGE_LOOK_INSERT_ITEM	[Proiezione] Prima devi registrare l'oggetto.
CHANGE_LOOK_NEED_MONEY	I tuoi Yang non sono sufficienti oppure non possiedi abbastanza oggetti.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Proiezione] Non è possibile compiere quest'azione mentre la finestra "Proiezione" è aperta.
CHANGE_LOOK_TITLE	Proiezione
CHANGE_LOOK_TITLE2	Trasformazione cavalcatura
CHANGE_PET_PLEASE_APPEND_FIRST	Bisogna prima selezionare il pet.
CHANGE_TOOLTIP2_LINE1	A sinistra inserisci l'oggetto di destinazione e a destra il materiale.
CHANGE_TOOLTIP2_LINE2	Clicca sulla spunta per utilizzare degli Yang o un Buono trasformazione per modificare l'aspetto della tua cavalcatura.
CHANGE_TOOLTIP2_LINE3	Il Buono trasformazione modifica l'aspetto della cavalcatura senza che si debbano utilizzare degli Yang. Una volta utilizzato, il buono verrà eliminato.
CHANGE_TOOLTIP2_LINE4	Se si modifica l'aspetto di una cavalcatura, la durata dell'aspetto originario della cavalcatura modificata resterà invariata. Inoltre, la durata del materiale non sarà mai maggiore rispetto a quella della cavalcatura di destinazione.
CHANGE_TOOLTIP2_LINE5	Nel caso in cui la cavalcatura di destinazione sia permanente e il materiale abbia invece una durata specifica, la cavalcatura manterrà l'aspetto modificato per la durata specifica del materiale.
CHANGE_TOOLTIP_LINE1	Poggia a sinistra l'oggetto sul quale si dovrà effettuare la proiezione.
CHANGE_TOOLTIP_LINE2	Poggia l'altro oggetto a destra.
CHANGE_TOOLTIP_LINE3	L'apparenza dell'oggetto si modifica
CHANGE_TOOLTIP_LINE4	quando confermi la proiezione (tasto V) e ti viene sottratto dello Yang.
CHANGE_TOOLTIP_LINE5	Quando usi questo oggetto,
CHANGE_TOOLTIP_LINE6	puoi proiettare il tuo item senza usare Yang.
CHANGE_TOOLTIP_TITLE	Proiezione
CHANNEL	Canale
CHANNELING_CANNOT_LOGOUT	Non puoi tornare alla pagina d'iscrizione.
CHANNEL_EMPTY_SERVER	Nessun server
CHANNEL_NORMAL	Canale %d
CHANNEL_NOTIFY_FULL	Questo canale è pieno! Sei pregato di sceglierne un altro.
CHANNEL_NOT_FIND_INFO	Non ricevi nessuna informazione sul canale.
CHANNEL_PVP	Duello libero
CHANNEL_SELECT_CHANNEL	Scegli il canale
CHANNEL_SELECT_REGION	Scegli il luogo per il conto
CHANNEL_SELECT_SERVER	Scegli il server
CHANNEL_STATUS_BUSY	Molto frequentato
CHANNEL_STATUS_FULL	Pieno
CHANNEL_STATUS_OFFLINE	Sconosciuto
CHANNEL_STATUS_RECOMMENDED	Consigliato
CHANNEL_STATUS_VACANT	Poco frequentato
CHANNEL_TEST_SERVER	Testa il server
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Crea personaggio
CHARACTER_NAME	Nome
CHARACTER_SELECT_MODE	Seleziona personaggio
CHARGE_BEAD_QUESTION	Sfere Anima necessarie: %d Vuoi continuare?
CHAT_ALL	Tutti
CHAT_BLOCK	Blocca
CHAT_DICE_INFO	Tira
CHAT_GUILD	Gilda
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	La frase contiene parole proibite
CHAT_LOG	Mostra i messaggi vecchi [L]
CHAT_LOG_TITLE	Protocollo della chat
CHAT_NORMAL	Normale
CHAT_NOTICE	Server
CHAT_PARTY	Gruppo
CHAT_SEND_CHAT	Invia Chat
CHAT_SEND_MEMO	Invia Chat privata [Shift+Invio]
CHAT_SHOUT	Chiama
CHAT_SHOUT_LIMIT	Puoi chiamare ogni 15 secondi.
CHAT_WHISPER	Chat privata
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Non puoi fare cadere i soldi.
CHEQUE_SYSTEM_PICK_WON	Hai ottenuto %d Won.
CHEQUE_SYSTEM_SELL_PRICE	[Prezzo di vendita]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
CLEAR_FLOOR	Livello
CLEAR_TIME	Tempo
ClosePetChangeWndButton	Chiudi
COMB_ACCE_IS_CONTINUE_PROCESS	Vuoi continuare?
COMB_ACCE_WARNING_MESSAGE	In caso di successo totale o parziale, l'originale verrà distrutto. Il trasferimento potrebbe non andare a buon fine. In caso di fallimento o successo parziale, il tasso di assorbimento della stola di destinazione diminuirà.
COMB_ACCE_WARNING_MESSAGE1	In caso di successo totale o parziale, la stola di partenza verrà distrutta.
COMB_ACCE_WARNING_MESSAGE2	Il trasferimento potrebbe non andare a buon fine.
COMB_ACCE_WARNING_MESSAGE3	In caso di fallimento o successo parziale, il tasso di assorbimento della stola di destinazione diminuirà.
COMB_ACCE_WILL_REMOVE_MATERIAL	In caso di successo totale o parziale, la stola di partenza verrà distrutta.
COMB_ALREADY_APPEND	Questo oggetto è già stato selezionato.
COMB_CANT_APPEND_ITEM	Questo oggetto non può essere utilizzato.
COMB_CANT_APPEND_SEALED_ITEM	Non si possono utilizzare oggetti legati all'anima.
COMB_CANT_BASE_ITEM	Non è possibile scegliere come stola di destinazione una stola che possiede già dei bonus.
COMB_CANT_MATCH_DRAINRATE	Il trasferimento del bonus presuppone che entrambi gli item abbiano lo stesso tasso di assorbimento.
COMB_CANT_MATCH_GRADE	Il trasferimento del bonus presuppone che entrambi gli item abbiamo lo stesso grado.
COMB_CANT_MATERIAL_ITEM	L'item originale deve possedere un bonus.
COMB_COST	Prezzo: %s
COMB_IS_CONTINUE_PROCESS	Desideri continuare?
COMB_NOTICE	Non puoi aprire un negozio privato mentre stai scambiando dei libri.
COMB_NOTICE_NOT_OPEN	Non puoi scambiar libri mentre hai un negozio privato aperto.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Per poter trasferire i bonus ti servono un item originale, un item di destinazione e l'item per il trasferimento.
COMB_NOT_FULL_BOOK	No, non ci siamo. Come ti ho già spiegato, sono disposto a fare lo scambio solo se mi porti 10 libri.
COMB_NOT_ITEM_IN_INVENTORY	Non puoi utilizzare oggetti già in uso.
COMB_NOT_MEDIUM_ITEM	Questo oggetto non può essere utilizzato.
COMB_WILL_REMOVE_MATERIAL	In caso di successo, l'originale verrà distrutto.
CREATE_ERROR_GM_NAME	Nel nome del personaggio non puoi usare ,GM‘.
CREATE_ERROR_INSULT_NAME	Questo nome non è consentito.
CREATE_ERROR_LIMIT_LEVEL	Il tuo personaggio deve aver raggiunto almeno il livello 80.
CREATE_ERROR_TIME_LIMIT	Puoi solo creare un personaggio ogni 30 secondi.
CREATE_ERROR_WRONG_STRING	Non puoi utilizzare questo nome.
CREATE_EXIST_SAME_NAME	Questo nome è usato da un altro personaggio.
CREATE_FAILURE	Non puoi creare il personaggio.
CREATE_FULL	Non puoi più creare alcun personaggio.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Inserisci il nome.
CREATE_PLUS_STAT	Ci sono ancora punti status disponibili.
CUBE_CATEGORY_ACCESSORY	Gioielli
CUBE_CATEGORY_ARMOR	Armatura
CUBE_CATEGORY_BELT	Cintura
CUBE_CATEGORY_ETC	Etc.
CUBE_CATEGORY_EVENT	Evento
CUBE_CATEGORY_WEAPON	Arma
CUBE_MAKE_CONFIRM_QUESTION_1	Almeno uno degli item utilizzati è particolarmente prezioso (possiede più di %d bonus).
CUBE_MAKE_CONFIRM_QUESTION_2	Vuoi davvero continuare?
CUBE_NOT_ENOUGH_GOLD	Non hai abbastanza Yang per la produzione.
CUBE_NOT_ENOUGH_MATERIAL	Non hai materiale a sufficienza per la produzione.
CUBE_PLEASE_SELECT	Non è stato selezionato alcun oggetto.
CZ_REWARD_QUESTION_COMPLETE	Vorresti avere questa cavalcatura?
CZ_REWARD_TOOLTIP_10GAN	Insegne Zodiaco
CZ_REWARD_TOOLTIP_10GAN_COUNT	Quantità presente nell'inventario
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Quantità necessaria
CZ_REWARD_TOOLTIP_12ZI	Insegne del guardiano
CZ_REWARD_TOOLTIP_12ZI_COUNT	Quantità presente nell'inventario
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Quantità necessaria
CZ_REWARD_TOOLTIP_ALL_BOX	Tesoro stellare
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Clicca qui per ritirare la tua ricompensa, il Tesoro stellare.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Clicca qui per ritirare la tua ricompensa, il Tesoro Aventurina.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Clicca qui per ritirare la tua ricompensa, il Tesoro Aureolina.
CZ_REWARD_TOOLTIP_COMPLETABLE	Riscuoti
CZ_REWARD_TOOLTIP_GREEN_BOX	Tesoro Aventurina
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Tesori Aventurina ritirati: %d
CZ_REWARD_TOOLTIP_WEEKLY	Giorno
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Venerdì
CZ_REWARD_TOOLTIP_WEEKLY_MON	Lunedì
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Sabato
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Sabato/Domenica
CZ_REWARD_TOOLTIP_WEEKLY_THU	Giovedì
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Martedì
CZ_REWARD_TOOLTIP_WEEKLY_WED	Mercoledì
CZ_REWARD_TOOLTIP_YELLOW_BOX	Tesoro Aureolina
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Tesori Aureolina ritirati: %d
DAY	g
DETAILS_1	Forte vs Mezziuomini
DETAILS_10	Forte vs mostri des.
DETAILS_11	Forte vs insetti
DETAILS_12	Valore d'attacco
DETAILS_13	Valore di difesa
DETAILS_14	Danno medio
DETAILS_15	Res. danno medio
DETAILS_16	Danni abilità
DETAILS_17	Resistenza danni abilità
DETAILS_18	Att. magico/C. a C.
DETAILS_19	Attacco magico
DETAILS_2	Res. Mezzouomo
DETAILS_20	Prob. colpo critico
DETAILS_21	Colpo trafiggente
DETAILS_22	Res. colpo critico
DETAILS_23	Res. colpo trafigg.
DETAILS_24	Resistenza lampo
DETAILS_25	Resistenza ghiaccio
DETAILS_26	Res. oscurità
DETAILS_27	Resistenza fuoco
DETAILS_28	Resistenza vento
DETAILS_29	Resistenza terra
DETAILS_3	Forte vs orchi
DETAILS_30	Forza del fulmine
DETAILS_31	Forza del ghiaccio
DETAILS_32	Forza dell'oscurità
DETAILS_33	Forza del fuoco
DETAILS_34	Forza del vento
DETAILS_35	Forza della terra
DETAILS_36	Forte vs guerrieri
DETAILS_37	Forte vs ninja
DETAILS_38	Forte vs sura
DETAILS_39	Forte vs shamani
DETAILS_4	Forte vs zombie
DETAILS_40	Forte vs lican
DETAILS_41	Difesa dai guerrieri
DETAILS_42	Difesa dai ninja
DETAILS_43	Difesa dai sura
DETAILS_44	Dif. dagli shamani
DETAILS_45	Difesa dai lican
DETAILS_46	Difesa spada
DETAILS_47	Difesa spadone
DETAILS_48	Difesa pugnale
DETAILS_49	Difesa artigli
DETAILS_5	Forte vs mostri
DETAILS_50	Difesa campana
DETAILS_51	Difesa ventaglio
DETAILS_52	Difesa freccia
DETAILS_53	Prob. svenimento
DETAILS_54	Prob. rallentamento
DETAILS_55	Prob. avvelenamento
DETAILS_56	Res. avvelenamento
DETAILS_57	Attacco sanguinante
DETAILS_58	Res. attacco sang.
DETAILS_59	Furto HP
DETAILS_6	Forte vs mostri Zod.
DETAILS_60	Furto MP
DETAILS_61	Ripristino HP
DETAILS_62	Ripristino MP
DETAILS_63	Blocca attacco
DETAILS_64	Schiva frecce
DETAILS_65	Rifless. att. corp.
DETAILS_66	Ripr. HP (uccisione)
DETAILS_67	Ripr. MP (uccisione)
DETAILS_68	EXP doppia
DETAILS_69	Yang doppi
DETAILS_7	Forte vs animali
DETAILS_70	Prob. di drop
DETAILS_71	Valore d'attacco
DETAILS_72	Difesa
DETAILS_73	EXP
DETAILS_74	Prob. di drop
DETAILS_75	Yang doppi
DETAILS_76	Resistenza magia
DETAILS_77	Anti-magia
DETAILS_8	Forte vs esoterici
DETAILS_9	Forte vs diavolo
DETAILS_ATTBONUS_BELL	Rottura della campana
DETAILS_ATTBONUS_BOW	Rottura della freccia
DETAILS_ATTBONUS_CLAW	Rottura dell'artiglio
DETAILS_ATTBONUS_DAGGER	Rottura del pugnale
DETAILS_ATTBONUS_FAN	Rottura del ventaglio
DETAILS_ATTBONUS_SWORD	Rottura della spada
DETAILS_ATTBONUS_TWOHAND	Rottura dello spadone
DETAILS_CATE_1	Danno/Difesa
DETAILS_CATE_2	Bonus elementali
DETAILS_CATE_3	Bonus classe
DETAILS_CATE_4	Bonus armi
DETAILS_CATE_5	Altri bonus
DETAILS_CATE_6	Bonus speciali
DETAILS_RESIST_MOUNT_FALL	Resistenza alla caduta
DETAILS_TITLE	Dettagli
DETAILS_TOOLTIP_1	Forte contro i Mezziuomini: infligge ingenti danni ai Mezziuomini
DETAILS_TOOLTIP_10	Forte contro i mostri del deserto: infligge una maggiore quantità di danni ai mostri del deserto.
DETAILS_TOOLTIP_11	Forte contro insetti: infligge una maggiore quantità di danni agli insetti.
DETAILS_TOOLTIP_12	Incrementa il tuo valore d'attacco.
DETAILS_TOOLTIP_13	Incrementa il tuo valore di difesa
DETAILS_TOOLTIP_14	Aumenta il danno medio che infliggi agli avversari quando li attacchi.
DETAILS_TOOLTIP_15	Resistenza al danno medio: riduce i danni che subisci in un attacco.
DETAILS_TOOLTIP_16	Aumenta i danni provocati da un'abilità.
DETAILS_TOOLTIP_17	Resistenza ai danni abilità: riduce il danno da abilità che subisci.
DETAILS_TOOLTIP_18	Aumenta il valore d'attacco corporale e magico.
DETAILS_TOOLTIP_19	Aumenta il danno che infliggi agli avversari tramite attacco magico.
DETAILS_TOOLTIP_2	Resistenza ai Mezziuomini: riduce il danno che viene inflitto dai Mezziuomini.
DETAILS_TOOLTIP_20	Aumenta la probabilità di mettere a segno un colpo critico.
DETAILS_TOOLTIP_21	Probabilità di colpo trafiggente: aumenta la probabilità di mettere a segno un colpo trafiggente.
DETAILS_TOOLTIP_22	Resistenza ai colpi critici: riduce il danno che viene inflitto dai colpi critici.
DETAILS_TOOLTIP_23	Resistenza ai colpi trafiggenti: riduce il danno che viene inflitto dai colpi trafiggenti.
DETAILS_TOOLTIP_24	Riduce il danno che viene inflitto da determinati mostri.
DETAILS_TOOLTIP_25	Riduce il danno che viene inflitto da determinati mostri.
DETAILS_TOOLTIP_26	Resistenza all'oscurità: riduce il danno che viene inflitto da determinati mostri.
DETAILS_TOOLTIP_27	Riduce il danno che viene inflitto da determinati mostri.
DETAILS_TOOLTIP_28	Riduce il danno che viene inflitto da determinati mostri.
