ACCE_ABSORB_COST	Absorberrings pris: %d
AURA_NOTICE_DEL_ABSORDITEM	[Aura] Overførte genstand er blevet ødelagt.
AURA_OPEN_OTHER_WINDOW	Du kan ikke gøre dette mens vinduet til forbedring, udvikling eller overførelse af stats er åbent.
AURA_POSSIBLE_AURAITEM	[Aura] Kun Aura Outfit kan blive brugt.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] Aura Outfit skal blive indsat først.
AURA_TITLE_ABSORB	Overfør værdierne over på Aura Outfit
AURA_TITLE_EVOLUTION	Udvikl Aura Outfit
AURA_TITLE_GROWTH	Forbedre Aura Outfit
AURA_TOOLTIP_EXP	EXP (%d%% / 100%%)
AURA_TOOLTIP_LEVEL	Lvl%d (Stadie %d) (Absorberings sats %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Ny
AURA_TOOLTIP_NOW	Nuværende
AURA_TOOLTIP_RESOURCE	Forbrugsartikler
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_TOOLTIP_LINE1	Færdigheder: Vælg færdigheder til kamp og træk dem over i bjælken. (Premium)
AUTO_TOOLTIP_LINE2	Tip: Du kan skifte aktiverings intervallet (i sekunderr) under hver færdighed.
AUTO_TOOLTIP_LINE3	Eliksirer: Vælg eliksirer til kamp og træk dem over i bjælken. (Premium)
AUTO_TOOLTIP_LINE4	Tip: HP og MP eliksirer vil blive aktiveret så snart niveauet falder under den % værdi under hver eliksir.
AUTO_TOOLTIP_LINE5	Tip: Varigheden af andre eliksirer er vist i sekunder.
AUTO_TOOLTIP_TITLE	Auto-Jagt hjælp
BATTLE_POINT	Kamp Point
BEAD	Animasphere
BEAD_TIME_REMAINING_TO_GET	Animasphere opladt om: %d min.
BNW_COIN	Seer Mønt
BUY_LIMIT_LEVEL	Købs grænse: %s
CANNOT_ATTACK_DEST_IN_SAFE	Afstanden til fjenden er for stor.
CANNOT_ATTACK_SELF_IN_SAFE	Jeg kan ikke angribe fjenden herfra.
CANNOT_EQUIP_IN_EXCHANGE	Du kan ikke skifte din udrustning mens du handler.
CANNOT_EQUIP_IN_SHOP	Du kan ikke skifte din udrustning mens du handler.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Du kan ikke åbne en privat butik på et offentligt areal.
CANNOT_SHOOT_DEST_IN_SAFE	Afstanden til fjenden er for stor.
CANNOT_SHOOT_EMPTY_ARROW	Jeg har brug for en pil.
CANNOT_SHOOT_SELF_IN_SAFE	Jeg kan ikke angribe fjenden herfra.
CANNOT_SKILL_APPROACH	Jeg er sikker på, at jeg ikke kan komme tættere på.
CANNOT_SKILL_ATTACK	Det kan jeg ikke angribe.
CANNOT_SKILL_BLUE	Du kan ikke bruge Indigo Ulve sjæl når højrød Ulve sjæl er aktiveret.
CANNOT_SKILL_DEST_IN_SAFE	Afstanden til fjenden er for stor.
CANNOT_SKILL_EQUIP_FISHING_ROD	Du kan ikke fiske uden en udstyret fiskestang.
CANNOT_SKILL_HAVE_TO_RIDE	Jeg har brug for en hest for at kunne anvende det.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Jeg har ingen tom flaske.
CANNOT_SKILL_NEED_POISON_BOTTLE	Jeg har ingen giftflaske.
CANNOT_SKILL_NEED_TARGET	Hvem er målet?
CANNOT_SKILL_NOT_ENOUGH_HP	Jeg har ikke nok HP!
CANNOT_SKILL_NOT_ENOUGH_SP	Jeg har ikke nok MP!
CANNOT_SKILL_NOT_HORSE_SKILL	Jeg kan ikke bruge det, mens jeg ridder.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Denne færdighed kan jeg ikke bruge med mit våben.
CANNOT_SKILL_NOT_YET_LEARN	Denne færdighed har jeg ikke lært.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Det virker kun på gruppemedlemmer.
CANNOT_SKILL_ONLY_FOR_CORPSE	Det virker kun på døde.
CANNOT_SKILL_RED	Du kan ikke bruge højrød ulve sjæl når Indigo Ulve sjæl er aktiveret.
CANNOT_SKILL_REMOVE_FISHING_ROD	Denne færdighed kan jeg ikke bruge med en fiskestang.
CANNOT_SKILL_SELF_IN_SAFE	Jeg kan ikke angribe fjenden herfra.
CANNOT_SKILL_USE_SELF	Jeg kan ikke bruge det på mig selv.
CANNOT_SKILL_WAIT_COOLTIME	Denne færdighed er ikke klar.
CANNOT_USE	Du kan ikke bruge denne.
CANNOT_WHISPER_DEST_REFUSE	%s har blokeret hvisken.	SA
CANNOT_WHISPER_NOT_LOGON	%s er ikke online.	SA
CANNOT_WHISPER_SELF_REFUSE	Du kan ikke hviske med nogen, når du selv har blokeret for hvisken.	SNA
CATEGORY_ARMOR_ARMOR_BODY	Rustning
CATEGORY_ARMOR_ARMOR_HEAD	Hjelme
CATEGORY_ARMOR_ARMOR_SHIELD	Skjolde
CATEGORY_COSTUMES	Kostumer
CATEGORY_COSTUMES_COSTUME_BODY	Kostumer
CATEGORY_COSTUMES_COSTUME_HAIR	Frisurer
CATEGORY_COSTUMES_COSTUME_WEAPON	Våbenskin
CATEGORY_COSTUMES_ETC	Andet
CATEGORY_COSTUMES_SASH	Skulder Bånd
CATEGORY_DRAGON_STONE	Dragesten alkymi
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamant
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granat
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jade
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Onyx
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubin
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Safir
CATEGORY_DRAGON_STONE_ETC	Andet
CATEGORY_EQUIPMENT_ARMOR	Udrustning
CATEGORY_EQUIPMENT_JEWELRY	Smykker
CATEGORY_EQUIPMENT_WEAPON	Våben
CATEGORY_ETC	Andet
CATEGORY_ETC_ETC	Andet
CATEGORY_ETC_EVENT	Event Genstande
CATEGORY_ETC_GIFTBOX	Kister | Bokse
CATEGORY_ETC_MATRIMORY	Gift
CATEGORY_ETC_PARTI	Krigens Kunst Bøger
CATEGORY_ETC_POLYMORPH	Forvandlingskugler
CATEGORY_ETC_RECIPE	Drik Fremstilling
CATEGORY_ETC_SEAL	Sjælebinding
CATEGORY_FISHING_PICK	Fiske | Mine
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Hakker
CATEGORY_FISHING_PICK_ETC	Andet
CATEGORY_FISHING_PICK_FISHING_POLE	Fiskestænger
CATEGORY_FISHING_PICK_FOOD	Fisk
CATEGORY_FISHING_PICK_PICK_BOOK	Minedrift Bøger
CATEGORY_FISHING_PICK_STONE	Malm
CATEGORY_JEWELRY_ARMOR_EAR	Øreringe
CATEGORY_JEWELRY_ARMOR_FOOTS	Sko
CATEGORY_JEWELRY_ARMOR_NECK	Halskæder
CATEGORY_JEWELRY_ARMOR_PENDANT	Talisman
CATEGORY_JEWELRY_ARMOR_WRIST	Armbånd
CATEGORY_JEWELRY_ITEM_BELT	Belter
CATEGORY_MOUNT_PET	Ganger | Kæledyr
CATEGORY_MOUNT_PET_CHARGED_PET	Kæledyr
CATEGORY_MOUNT_PET_EGG	Kæledyrs Æg
CATEGORY_MOUNT_PET_FREE_PET	Udviklings Kæledyr
CATEGORY_MOUNT_PET_MOUNT	Gangere
CATEGORY_POTION	Drikke
CATEGORY_POTION_ABILITY	Forbrugsgenstande
CATEGORY_POTION_ETC	Andet
CATEGORY_POTION_HAIRDYE	Hårfarve
CATEGORY_SKILL	Færdigheder
CATEGORY_SKILL_BOOK_OF_OBLIVION	Glemsomhedens Bøger
CATEGORY_SKILL_ETC	Andet
CATEGORY_SKILL_PAHAE	Beskyttelse | Boost
CATEGORY_SKILL_SKILL_BOOK	Færdighedsbøger
CATEGORY_TUNING	Opgraderinger
CATEGORY_TUNING_ETC	Andet
CATEGORY_TUNING_RESOURCE	Materialer
CATEGORY_TUNING_STONE	Åndesten
CATEGORY_UNIQUE	Specielle Genstande
CATEGORY_UNIQUE_ABILITY	Forbrugsgenstande
CATEGORY_UNIQUE_ETC	Andet
CATEGORY_WEAPON_WEAPON_ARROW	Pile
CATEGORY_WEAPON_WEAPON_BELL	Klokker
CATEGORY_WEAPON_WEAPON_BOW	Buer
CATEGORY_WEAPON_WEAPON_CLAW	Kløer
CATEGORY_WEAPON_WEAPON_DAGGER	Daggerter
CATEGORY_WEAPON_WEAPON_FAN	Vifter
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Spyd
CATEGORY_WEAPON_WEAPON_QUIVER	Kogger
CATEGORY_WEAPON_WEAPON_SWORD	Et-hånds Våben
CATEGORY_WEAPON_WEAPON_TWO_HANDED	To-hånds Våben
CHANGE_ALREADY_REGISTER	[Transmutation] Denne genstand er allerede tilføjet.
CHANGE_LOOK_CHANGE_ITEM	Ønsker du at transmutere denne genstand?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Transmutation] Fjern venligst først den genstand som du ønsker at transmutere.
CHANGE_LOOK_COST	Pris på transmutation: %s Yang
CHANGE_LOOK_DEL_ITEM	Den absorberede genstand vil blive slettet.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Transmutation] Denne genstand kan ikke transmuteres.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Transmutation] Du kan ikke transmutere en genstand mens den bæres.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Transmutation] Du kan ikke tilføje denne genstand.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Transmutation] Denne genstand er sjælebunden.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Transmutation] Tilføj venligst den genstand som du ønsker at transmutere.
CHANGE_LOOK_INSERT_ITEM	[Transmutation] Du skal tilføje genstanden først.
CHANGE_LOOK_NEED_MONEY	Du har enten ikke nok Yang, eller ikke nok genstande.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Transmutation] Denne handling er ikke mulig mens Transmutation vinduet er åbent.
CHANGE_LOOK_TITLE	Transmutation
CHANGE_LOOK_TITLE2	Ganger Transformation
CHANGE_PET_PLEASE_APPEND_FIRST	Kæledyret skal være valgt først.
CHANGE_TOOLTIP2_LINE1	Tilføj mål genstanden til venstre og materialet til højre.
CHANGE_TOOLTIP2_LINE2	Klik på feltet for at bruge Yang, eller en Transformations Polet og ændre din gangers udseende.
CHANGE_TOOLTIP2_LINE3	Ved at bruge en Transformations Polet, ændre det din gangers udseende uden det koster noget Yang (dette bruger poletten).
CHANGE_TOOLTIP2_LINE4	Hvis man ændre på en gangers udseende med en varighed, så forbliver gangerens varighed uændret.
CHANGE_TOOLTIP2_LINE5	Hvis mål gangeren er permanent og den materiale ganger har en varighed, vil gangeren have den ændrede udseende så længe den materiale ganger varer.
CHANGE_TOOLTIP_LINE1	Placer den genstand du ønsker til transmutere i venstre side.
CHANGE_TOOLTIP_LINE2	Placer den anden genstand i højre side.
CHANGE_TOOLTIP_LINE3	Udseendet på genstanden i venstre side vil ændres.
CHANGE_TOOLTIP_LINE4	så snart du bekræfter transmutationen (V) og betaler med Yang.
CHANGE_TOOLTIP_LINE5	Brug af denne genstand tillader dig
CHANGE_TOOLTIP_LINE6	at transmutere din genstand uden at bruge Yang.
CHANGE_TOOLTIP_TITLE	Transmutation
CHANNEL	Kanal
CHANNELING_CANNOT_LOGOUT	Du kan ikke gå tilbage til startskærmen.
CHANNEL_EMPTY_SERVER	Ingen server
CHANNEL_NORMAL	Kanal %d
CHANNEL_NOTIFY_FULL	Denne kanal er fyldt. Vælg venligst en anden.
CHANNEL_NOT_FIND_INFO	Du får ingen kanal-informationer.
CHANNEL_PVP	Fri duel
CHANNEL_SELECT_CHANNEL	Vælg en kanal
CHANNEL_SELECT_REGION	Vælg området for regningen
CHANNEL_SELECT_SERVER	Vælg server
CHANNEL_STATUS_BUSY	Optaget
CHANNEL_STATUS_FULL	Fyldt
CHANNEL_STATUS_OFFLINE	Ukendt
CHANNEL_STATUS_RECOMMENDED	Anbefalet
CHANNEL_STATUS_VACANT	Lav
CHANNEL_TEST_SERVER	Test server
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Opret karakter
CHARACTER_NAME	Navn
CHARACTER_SELECT_MODE	Vælg karakter
CHARGE_BEAD_QUESTION	Animasphere krævet: %d. Ønsker du at fortsætte?
CHAT_ALL	Alle
CHAT_BLOCK	Bloker
CHAT_DICE_INFO	Kast
CHAT_GUILD	Orden
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Sætningen indeholder spærrede ord.
CHAT_LOG	Vis gamle meddelelser [L]
CHAT_LOG_TITLE	Chat-log
CHAT_NORMAL	Normal
CHAT_NOTICE	Server
CHAT_PARTY	Gruppe
CHAT_SEND_CHAT	Send chat
CHAT_SEND_MEMO	Send hvisken [Shift+Enter]
CHAT_SHOUT	Råbe
CHAT_SHOUT_LIMIT	Du kan kun råbe alle 15 sekunder.
CHAT_WHISPER	Hviske
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Du kan ikke smide penge.
CHEQUE_SYSTEM_PICK_WON	Du har modtaget %s Won.
CHEQUE_SYSTEM_SELL_PRICE	[Salgspris]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
CLEAR_FLOOR	Level
CLEAR_TIME	Tid
ClosePetChangeWndButton	Luk
COMB_ACCE_IS_CONTINUE_PROCESS	Ønsker du at fortsætte?
COMB_ACCE_WARNING_MESSAGE	Kilden vil blive ødelagt på fuld eller delvis succes. Overførslen kan mislykkes. Mål genstandendes absorberings sats vil blive reduceret ved en delvis succes eller hvis det mislykkes.
COMB_ACCE_WARNING_MESSAGE1	Kilden vil blive ødelagt på fuld eller delvis succes.
COMB_ACCE_WARNING_MESSAGE2	Overførslen kan mislykkes.
COMB_ACCE_WARNING_MESSAGE3	Mål genstandendes absorberings sats vil blive reduceret ved en delvis succes eller hvis det mislykkes.
COMB_ACCE_WILL_REMOVE_MATERIAL	Kilden vil blive ødelagt på fuld eller delvis succes.
COMB_ALREADY_APPEND	Denne genstand er allerede blevet valgt.
COMB_CANT_APPEND_ITEM	Denne genstand kan ikke bruges.
COMB_CANT_APPEND_SEALED_ITEM	Du kan ikke bruge en sjælebunden genstand.
COMB_CANT_BASE_ITEM	En skærf som allerede har en bonus, kan ikke blive brugt som mål.
COMB_CANT_MATCH_DRAINRATE	Absorberings satsen for begge genstande skal være den samme til en bonus overførsel.
COMB_CANT_MATCH_GRADE	Karakteren for begge genstande skal være den samme til en bonus overførsel.
COMB_CANT_MATERIAL_ITEM	Kilde genstanden skal have en bonus.
COMB_COST	Pris: %s
COMB_IS_CONTINUE_PROCESS	Ønsker du at fortsætte?
COMB_NOTICE	Du kan ikke åbne en privat shop mens du bytter bøger.
COMB_NOTICE_NOT_OPEN	Du kan ikke bytte bøger mens du har en privat shop åben.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Du skal bruge en kilde og mål genstand, plus overførelses genstanden for at overføre bonusser.
COMB_NOT_FULL_BOOK	Nej, vi kan ikke gøre forretning på denne måde. Som jeg allerede fortalte dig, så er jeg kun klar på at bytte hvis du giver mig 10 bøger igen.
COMB_NOT_ITEM_IN_INVENTORY	Du kan ikke aktivere genstande der er i brug.
COMB_NOT_MEDIUM_ITEM	Denne genstand kan ikke bruges.
COMB_WILL_REMOVE_MATERIAL	Kilde genstanden vil blive ødelagt ved succes.
CREATE_ERROR_GM_NAME	Dit karakternavn må ikke indeholde "GM".
CREATE_ERROR_INSULT_NAME	Dette navn er ikke tilladt.
CREATE_ERROR_LIMIT_LEVEL	Din karakter skal mindst være level 80.
CREATE_ERROR_TIME_LIMIT	Du kan kun oprette en karakter per 30 sekunder.
CREATE_ERROR_WRONG_STRING	Dette karakter navn er ikke tilladt.
CREATE_EXIST_SAME_NAME	En anden karakter har allerede dette navn.
CREATE_FAILURE	Du kan ikke oprette denne karakter.
CREATE_FULL	Du kan ikke oprette flere karakterer.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Vælg et navn
CREATE_PLUS_STAT	Du har stadig nogle status-points.
CUBE_CATEGORY_ACCESSORY	Smykker
CUBE_CATEGORY_ARMOR	Rustning
CUBE_CATEGORY_BELT	Bælter
CUBE_CATEGORY_ETC	Osv.
CUBE_CATEGORY_EVENT	Event
CUBE_CATEGORY_WEAPON	Våben
CUBE_MAKE_CONFIRM_QUESTION_1	Mindst en af genstandene der bliver brugt, er af høj værdi (har mere end %d bonusser).
CUBE_MAKE_CONFIRM_QUESTION_2	Ønsker du virkelig at fortsætte?
CUBE_NOT_ENOUGH_GOLD	Ikke nok Yang til at skabe.
CUBE_NOT_ENOUGH_MATERIAL	Ikke nok materialer til at skabe.
CUBE_PLEASE_SELECT	Der er ikke blevet valgt nogen genstande.
CZ_REWARD_QUESTION_COMPLETE	Ønsker du at indløse denne plads?
CZ_REWARD_TOOLTIP_10GAN	Zodiac Emblem
CZ_REWARD_TOOLTIP_10GAN_COUNT	Antal i inventar
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Nødvendig mængde
CZ_REWARD_TOOLTIP_12ZI	Vagt Emblem
CZ_REWARD_TOOLTIP_12ZI_COUNT	Antal i inventar
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Nødvendig mængde
CZ_REWARD_TOOLTIP_ALL_BOX	Astral Skat
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Klik her for at indsamle din Astralske Skat som belønning.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Klik her for at indsamle din Aventurinske Skat som belønning.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Klik her for at indsamle din Aureolinske Skat som belønning.
CZ_REWARD_TOOLTIP_COMPLETABLE	Indløs
CZ_REWARD_TOOLTIP_GREEN_BOX	Aventurin Skat
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Indløst Aventurinske Skatte: %d
CZ_REWARD_TOOLTIP_WEEKLY	Dag
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Fredag
CZ_REWARD_TOOLTIP_WEEKLY_MON	Mandag
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Lørdag
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Lørdag/Søndag
CZ_REWARD_TOOLTIP_WEEKLY_THU	Torsdag
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Tirsdag
CZ_REWARD_TOOLTIP_WEEKLY_WED	Onsdag
CZ_REWARD_TOOLTIP_YELLOW_BOX	Aureolin Skat
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Indløst Aureolinske Skatte: %d
DAY	d
DETAILS_1	Stæ. vs Halv Mennes.
DETAILS_10	Stæ. vs Ørken Monst.
DETAILS_11	Stæ. vs Insekter
DETAILS_12	Angrebsværdi
DETAILS_13	Forsvarsværdi
DETAILS_14	Gennemsnitlig Skade
DETAILS_15	Gennemsni. Skd. Mod.
DETAILS_16	Færdigheds Skade
DETAILS_17	Færdigheds Skade Modstand
DETAILS_18	Magi/Nærkamps Angreb
DETAILS_19	Magisk Angreb
DETAILS_2	Mod. im. Halv Menne.
DETAILS_20	Kritisk Slag Chance
DETAILS_21	Gennemborende Træf
DETAILS_22	Kritisk Slag Mods.
DETAILS_23	Gennembo. Træf Mods.
DETAILS_24	Lynmodstand
DETAILS_25	Is Modstand
DETAILS_26	Mørke Modstand
DETAILS_27	Ild Modstand
DETAILS_28	Luft Modstand
DETAILS_29	Jord Modstand
DETAILS_3	Stærk imod Orker
DETAILS_30	Lynets Kraft
DETAILS_31	Isens Kraft
DETAILS_32	Mørkets Kraft
DETAILS_33	Ildens Kraft
DETAILS_34	Vindens Kraft
DETAILS_35	Jordens Kraft
DETAILS_36	Stærk imod Krigere
DETAILS_37	Stærk imod Ninjaer
DETAILS_38	Stærk imod Suraer
DETAILS_39	Stærk imod Shamaner
DETAILS_4	Stærk imod Udøde
DETAILS_40	Stærk imod Lycaner
DETAILS_41	Forsvar vs Krigere
DETAILS_42	Forsvar vs Ninjaer
DETAILS_43	Forsvar vs Suraer
DETAILS_44	Forsvar vs Shamaner
DETAILS_45	Forsvar vs Lycaner
DETAILS_46	Sværd Forsvar
DETAILS_47	To-hånds Forsvar
DETAILS_48	Dolk Forsvar
DETAILS_49	Klo Forsvar
DETAILS_5	Stærk imod Monstre
DETAILS_50	Klokkeforsvar
DETAILS_51	Vifteforsvar
DETAILS_52	Pil Forsvar
DETAILS_53	Besvimelses Chance
DETAILS_54	Sløv Chance
DETAILS_55	Gift Chance
DETAILS_56	Gift Modstand
DETAILS_57	Blødnings Angreb
DETAILS_58	Blødning Angreb Mod.
DETAILS_59	Stjæl HP
DETAILS_6	Stæ. vs Zodiac Mon.
DETAILS_60	Stjæl MP
DETAILS_61	HP Gendannelse
DETAILS_62	MP Gendannelse
DETAILS_63	Bloker Angreb
DETAILS_64	Undgå Pil Angreb
DETAILS_65	Ref. Nærkamps Angreb
DETAILS_66	HP Gendan. på Drab
DETAILS_67	MP Gendan. på Drab
DETAILS_68	Dobbelt EXP
DETAILS_69	Dobbelt Yang
DETAILS_7	Stærk imod Dyr
DETAILS_70	Drop Sandsynlighed
DETAILS_71	Angrebsværdi
DETAILS_72	Forsvarsværdi
DETAILS_73	EXP
DETAILS_74	Drop Sandsynlighed
DETAILS_75	Dobbelt Yang
DETAILS_76	Magi Modstand
DETAILS_77	Anti-Magi
DETAILS_8	Stærk vs Esoterikere
DETAILS_9	Stærk imod Djævle
DETAILS_ATTBONUS_BELL	Klokke brud
DETAILS_ATTBONUS_BOW	Pil brud
DETAILS_ATTBONUS_CLAW	Klo brud
DETAILS_ATTBONUS_DAGGER	Dolk brud
DETAILS_ATTBONUS_FAN	Vifte brud
DETAILS_ATTBONUS_SWORD	Sværd brud
DETAILS_ATTBONUS_TWOHAND	To-hånds brud
DETAILS_CATE_1	Skade/Forsvar
DETAILS_CATE_2	Elementær bonus
DETAILS_CATE_3	Klasse bonus
DETAILS_CATE_4	Våben bonus
DETAILS_CATE_5	Anden bonus
DETAILS_CATE_6	Special bonus
DETAILS_RESIST_MOUNT_FALL	Falds modstand
DETAILS_TITLE	Detaljer
DETAILS_TOOLTIP_1	Stærke imod Halv Mennesker: Giver tungere skade imod Halv Mennesker.
DETAILS_TOOLTIP_10	Stærke imod Ørken Monstre: Giver tungere skade imod ørken monstre.
DETAILS_TOOLTIP_11	Stærke imod Insekter: Giver tungere skade imod insekter.
DETAILS_TOOLTIP_12	Øger din angrebsværdi.
DETAILS_TOOLTIP_13	Øger din forsvarsværdi.
DETAILS_TOOLTIP_14	Øger den gennemsnitlige skade du giver imod fjender på et angreb.
DETAILS_TOOLTIP_15	Modstand imod gennemsnitlig skade: reducerer den skade du tager på et angreb.
DETAILS_TOOLTIP_16	Øger skaden der gives med en færdighed.
DETAILS_TOOLTIP_17	Modstand imod færdigheds skade: Reducerer skaden der gives mod dig med en færdighed.
DETAILS_TOOLTIP_18	Øger både din fysiske og magiske angrebsværdi.
DETAILS_TOOLTIP_19	Øger den skade du giver imod fjender på et magisk angreb.
DETAILS_TOOLTIP_2	Modstand imod Halv Mennesker: Reducerer den skade du tager fra Halv Mennesker.
DETAILS_TOOLTIP_20	Øger chancen for at lave et kritisk slag.
DETAILS_TOOLTIP_21	Sandsynlighed for gennemborende træf: Øger chancen for at lave et gennemborende træf.
DETAILS_TOOLTIP_22	Kritisk slag modstand: Reducerer skaden der påføres af et kritisk slag.
DETAILS_TOOLTIP_23	Gennemborende træf modstand: Reducerer skaden der påføres af et gennemborende træf.
DETAILS_TOOLTIP_24	Reducerer den skade du tager fra nogen monstre.
DETAILS_TOOLTIP_25	Reducerer den skade du tager fra nogen monstre.
DETAILS_TOOLTIP_26	Mørke modstand: Reducerer den skade du tager fra nogen monstre.
DETAILS_TOOLTIP_27	Reducerer den skade du tager fra nogen monstre.
DETAILS_TOOLTIP_28	Reducerer den skade du tager fra nogen monstre.
DETAILS_TOOLTIP_29	Reducerer den skade du tager fra nogen monstre.
DETAILS_TOOLTIP_3	Stærke imod Orker: Giver tungere skade imod orker.
DETAILS_TOOLTIP_30	Øger den skade du forvolder igennem lynets kraft.
DETAILS_TOOLTIP_31	Øger den skade du forvolder igennem isens kraft.
