ACCE_ABSORB_COST	Absorberingsprijs: %d
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_TOOLTIP_LINE1	Vaardigheden: Kies vaardigheden voor de strijd en sleep ze naar de sloten. (Premium)
AUTO_TOOLTIP_LINE2	Hint: Je kunt de activeringsinterval (in seconden) onder elke vaardigheid aanpassen.
AUTO_TOOLTIP_LINE3	Drankjes: Kies drankjes voor de strijd en sleep ze naar de sloten. (Premium)
AUTO_TOOLTIP_LINE4	Hint: LP- en TP-drankjes worden geactiveerd zodra het niveau zakt onder de %-waarde die onder elk drankje staat aangegeven.
AUTO_TOOLTIP_LINE5	Hint: De duur van andere drankjes wordt weergegeven in seconden.
AUTO_TOOLTIP_TITLE	Auto-Jacht Hulp
BATTLE_POINT	Strijdpunten
BEAD	Animasphere
BEAD_TIME_REMAINING_TO_GET	Animasphere opgeladen over: %d min.
BNW_COIN	Ziener Munt
BUY_LIMIT_LEVEL	Kooplimiet: %s
CANNOT_ATTACK_DEST_IN_SAFE	De Tegenstander is te ver weg.
CANNOT_ATTACK_SELF_IN_SAFE	Ik kan niet aanvallen.	
CANNOT_EQUIP_IN_EXCHANGE	Je kunt wat je draagt niet veranderen wanneer je aan het handelen bent.
CANNOT_EQUIP_IN_SHOP	Je kunt wat je draagt niet veranderen wanneer je aan het handelen bent.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Je kunt geen privé Warenhuis openen in een openbaar gebied.
CANNOT_SHOOT_DEST_IN_SAFE	De vijand is te ver weg.	
CANNOT_SHOOT_EMPTY_ARROW	Ik heb een Pijl nodig.	
CANNOT_SHOOT_SELF_IN_SAFE	Ik kan dit niet doen.	
CANNOT_SKILL_APPROACH	Ik weet zeker dat ik niet dichterbij kan komen.	
CANNOT_SKILL_ATTACK	Ik kan niet aanvallen.	
CANNOT_SKILL_BLUE	Je kunt Indigo Wolf Ziel niet gebruiken wanneer Bloedrode Wolf Ziel actief is.
CANNOT_SKILL_DEST_IN_SAFE	De vijand is te ver weg.	
CANNOT_SKILL_EQUIP_FISHING_ROD	Je kunt niet vissen als je geen vishengel draagt.
CANNOT_SKILL_HAVE_TO_RIDE	Ik heb eerst een Paard nodig voordat ik dit kan gebruiken.	
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Ik heb geen Lege Fles.	
CANNOT_SKILL_NEED_POISON_BOTTLE	Ik heb geen Gif Fles.	
CANNOT_SKILL_NEED_TARGET	Wie is het doelwit?	
CANNOT_SKILL_NOT_ENOUGH_HP	Ik heb niet genoeg LP!	
CANNOT_SKILL_NOT_ENOUGH_SP	Ik heb niet genoeg TP!	
CANNOT_SKILL_NOT_HORSE_SKILL	Ik kan dit niet gebruiken tijdens het rijden.	
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Ik kan deze Vaardigheid niet met dit wapen gebruiken.	
CANNOT_SKILL_NOT_YET_LEARN	Ik heb deze Vaardigheid nog niet geleerd.	
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Dit beïnvloedt alleen groepsleden.	
CANNOT_SKILL_ONLY_FOR_CORPSE	Dit beïnvloedt alleen dode mensen.	
CANNOT_SKILL_RED	Je kunt Bloedrode Wolf Ziel niet gebruiken wanneer Indigo Wolf Ziel actief is.
CANNOT_SKILL_REMOVE_FISHING_ROD	Ik kan deze Vaardigheid niet met een Hengel gebruiken.
CANNOT_SKILL_SELF_IN_SAFE	Ik kan vanaf hier niet aanvallen.	
CANNOT_SKILL_USE_SELF	Ik kan dit niet op mijzelf gebruiken.	
CANNOT_SKILL_WAIT_COOLTIME	Ik kan deze Vaardigheid nog niet gebruiken.	
CANNOT_USE	Je kan dit niet gebruiken.
CANNOT_WHISPER_DEST_REFUSE	%s blokkeert fluisteren compleet.	SA
CANNOT_WHISPER_NOT_LOGON	%s is niet online.	SA
CANNOT_WHISPER_SELF_REFUSE	Je kunt niet naar iemand fluisteren wanneer je het fluisteren geblokkeerd hebt.	SNA
CATEGORY_ARMOR_ARMOR_BODY	Pantsers
CATEGORY_ARMOR_ARMOR_HEAD	Helmen
CATEGORY_ARMOR_ARMOR_SHIELD	Schilden
CATEGORY_COSTUMES	Kostuums
CATEGORY_COSTUMES_COSTUME_BODY	Kostuums
CATEGORY_COSTUMES_COSTUME_HAIR	Haardracht
CATEGORY_COSTUMES_COSTUME_WEAPON	Wapen-skins
CATEGORY_COSTUMES_ETC	Overig
CATEGORY_COSTUMES_SASH	Schoudergordels
CATEGORY_DRAGON_STONE	Drakensteen Alchemie
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamant
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granaat
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jade
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Onyx
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Robijn
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Saffier
CATEGORY_DRAGON_STONE_ETC	Overig
CATEGORY_EQUIPMENT_ARMOR	Uitrusting
CATEGORY_EQUIPMENT_JEWELRY	Sieraden
CATEGORY_EQUIPMENT_WEAPON	Wapens
CATEGORY_ETC	Overig
CATEGORY_ETC_ETC	Overig
CATEGORY_ETC_EVENT	Event Items
CATEGORY_ETC_GIFTBOX	Kisten | Dozen
CATEGORY_ETC_MATRIMORY	Huwelijk
CATEGORY_ETC_PARTI	Kunst van de Oorlog Boeken
CATEGORY_ETC_POLYMORPH	Metamorfose Bollen
CATEGORY_ETC_RECIPE	Drankjes Productie
CATEGORY_ETC_SEAL	Zielbinding
CATEGORY_FISHING_PICK	Visserij | Mijnbouw
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Pikhouwelen
CATEGORY_FISHING_PICK_ETC	Overig
CATEGORY_FISHING_PICK_FISHING_POLE	Vishengels
CATEGORY_FISHING_PICK_FOOD	Vissen
CATEGORY_FISHING_PICK_PICK_BOOK	Mijnbouw Boeken
CATEGORY_FISHING_PICK_STONE	Ertsen
CATEGORY_JEWELRY_ARMOR_EAR	Oorbellen
CATEGORY_JEWELRY_ARMOR_FOOTS	Schoenen
CATEGORY_JEWELRY_ARMOR_NECK	Kettingen
CATEGORY_JEWELRY_ARMOR_PENDANT	Talisman
CATEGORY_JEWELRY_ARMOR_WRIST	Armbanden
CATEGORY_JEWELRY_ITEM_BELT	Riemen
CATEGORY_MOUNT_PET	Rijdieren | Huisdieren
CATEGORY_MOUNT_PET_CHARGED_PET	Huisdieren
CATEGORY_MOUNT_PET_EGG	Huisdiereieren
CATEGORY_MOUNT_PET_FREE_PET	Evolueerbare Huisdieren
CATEGORY_MOUNT_PET_MOUNT	Rijdieren
CATEGORY_POTION	Drankjes
CATEGORY_POTION_ABILITY	Verbruiksartikelen
CATEGORY_POTION_ETC	Overig
CATEGORY_POTION_HAIRDYE	Haarverf
CATEGORY_SKILL	Vaardigheden
CATEGORY_SKILL_BOOK_OF_OBLIVION	Boeken der Vergetelheid
CATEGORY_SKILL_ETC	Overig
CATEGORY_SKILL_PAHAE	Bescherming | Boost
CATEGORY_SKILL_SKILL_BOOK	Vaardigheden Boeken
CATEGORY_TUNING	Verbeteringen
CATEGORY_TUNING_ETC	Overig
CATEGORY_TUNING_RESOURCE	Materialen
CATEGORY_TUNING_STONE	Geestenstenen
CATEGORY_UNIQUE	Speciale Items
CATEGORY_UNIQUE_ABILITY	Verbruiksartikelen
CATEGORY_UNIQUE_ETC	Overig
CATEGORY_WEAPON_WEAPON_ARROW	Pijlen
CATEGORY_WEAPON_WEAPON_BELL	Bellen
CATEGORY_WEAPON_WEAPON_BOW	Bogen
CATEGORY_WEAPON_WEAPON_CLAW	Klauwen
CATEGORY_WEAPON_WEAPON_DAGGER	Dolken
CATEGORY_WEAPON_WEAPON_FAN	Waaiers
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Speren
CATEGORY_WEAPON_WEAPON_QUIVER	Pijlkokers
CATEGORY_WEAPON_WEAPON_SWORD	Eenhandswapens
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Tweehandswapens
CHANGE_ALREADY_REGISTER	[Transmutatie] Dit item is al toegevoegd.
CHANGE_LOOK_CHANGE_ITEM	Wil je dit item transmuteren?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Transmutatie] Verwijder eerst het item dat je wil transmuteren a.u.b.
CHANGE_LOOK_COST	Kosten van transmutatie: %s Yang
CHANGE_LOOK_DEL_ITEM	Het geabsorbeerde item zal verwijderd worden.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Transmutatie] Dit item kan niet getransmuteerd worden.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Transmutatie] Je kunt geen item transmuteren dat je momenteel draagt.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Transmutatie] Je kunt dit item niet toevoegen.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Transmutatie] Het item is zielsgebonden.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Transmutatie] Voeg het item dat je wil transmuteren toe a.u.b.
CHANGE_LOOK_INSERT_ITEM	[Transmutatie] Je moet het item eerst toevoegen.
CHANGE_LOOK_NEED_MONEY	Je hebt of niet genoeg Yang of niet voldoende items.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Transmutatie] Deze actie is niet mogelijk als het Transmutatie-scherm geopend is.
CHANGE_LOOK_TITLE	Transmutatie
CHANGE_LOOK_TITLE2	Rijdiertransformatie
CHANGE_PET_PLEASE_APPEND_FIRST	Het huisdier moet eerst geselecteerd zijn.
CHANGE_TOOLTIP2_LINE1	Voeg het doelitem toe aan de linkerkant en het materiaal aan de rechterkant.
CHANGE_TOOLTIP2_LINE2	Klik op het vakje om Yang of een Transformatiepenning te gebruiken en verander het uiterlijk van je rijdier.
CHANGE_TOOLTIP2_LINE3	Door gebruik te maken van een Transformatiepenning kun je het uiterlijk van je rijdier aanpassen zonder dat het je Yang kost (dit verbruikt wel de penning).
CHANGE_TOOLTIP2_LINE4	Als je het uiterlijk aanpast van een rijdier met een gebruiksduur, dan blijft de gebruiksduur van dit rijdier ongewijzigd.
CHANGE_TOOLTIP2_LINE5	Als het doelrijdier permanent is en het materialenrijdier een gebruiksduur heeft, dan blijft het rijdier dit uiterlijk houden zolang de gebruiksduur van het materialenrijdier loopt.
CHANGE_TOOLTIP_LINE1	Plaats het item dat je wilt transmuteren links.
CHANGE_TOOLTIP_LINE2	Plaats het andere item rechts.
CHANGE_TOOLTIP_LINE3	Het uiterlijk van het item aan de linkerkant zal veranderen
CHANGE_TOOLTIP_LINE4	zodra je de transmutatie bevestigt (V) en het Yang betaald hebt.
CHANGE_TOOLTIP_LINE5	Met dit item kun je
CHANGE_TOOLTIP_LINE6	jouw item transmuteren zonder Yang te spenderen.
CHANGE_TOOLTIP_TITLE	Transmutatie
CHANNEL	Kanaal	
CHANNELING_CANNOT_LOGOUT	Je kunt niet terug gaan naar het login scherm.	
CHANNEL_EMPTY_SERVER	Geen server	
CHANNEL_NORMAL	Kanaal %d	
CHANNEL_NOTIFY_FULL	Dit kanaal is vol! Kies een andere alstublieft.
CHANNEL_NOT_FIND_INFO	Geen informatie gevonden via het kanaal.	
CHANNEL_PVP	Vrije duel	
CHANNEL_SELECT_CHANNEL	Kies een kanaal	
CHANNEL_SELECT_REGION	Kies een regio.	
CHANNEL_SELECT_SERVER	Kies een server	
CHANNEL_STATUS_BUSY	Druk
CHANNEL_STATUS_FULL	Vol
CHANNEL_STATUS_OFFLINE	Onbekend
CHANNEL_STATUS_RECOMMENDED	Aanbevolen
CHANNEL_STATUS_VACANT	Rustig
CHANNEL_TEST_SERVER	Test Server	
CHANNEL_TEST_SERVER_ADDR	Test %s:%d	
CHARACTER_CREATE_MODE	Karakter aanmaken
CHARACTER_NAME	Naam
CHARACTER_SELECT_MODE	Karakter selecteren
CHARGE_BEAD_QUESTION	Animaspheres benodigd: %d Wil je doorgaan?
CHAT_ALL	Alles	
CHAT_BLOCK	Blokkeren	
CHAT_DICE_INFO	Werpen
CHAT_GUILD	Gilde	
CHAT_INFORMATION	Info	
CHAT_INSULT_STRING	Deze zin bevat ongeldige woorden.	
CHAT_LOG	Laat oude berichten zien [L]	
CHAT_LOG_TITLE	Chat-log	
CHAT_NORMAL	Normaal	
CHAT_NOTICE	Server	
CHAT_PARTY	Groep	
CHAT_SEND_CHAT	Stuur Chat	
CHAT_SEND_MEMO	Stuur Fluister[Shift+Enter]
CHAT_SHOUT	Roep	
CHAT_SHOUT_LIMIT	Je kunt slechts elke 15 seconden roepen.	
CHAT_WHISPER	Fluisteren	
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Je kunt geen geld laten vallen.
CHEQUE_SYSTEM_PICK_WON	Je hebt %s Won ontvangen.
CHEQUE_SYSTEM_SELL_PRICE	[Verkoopsprijs]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
CLEAR_FLOOR	Level
CLEAR_TIME	Tijd
ClosePetChangeWndButton	Sluiten
COMB_ACCE_IS_CONTINUE_PROCESS	Wil je doorgaan?
COMB_ACCE_WARNING_MESSAGE	Het bron-item wordt vernietigd bij een volledig of gedeeltelijk succes. De overdracht kan mislukken. De absorberingswaarde van het doel-item zal verminderd worden bij een gedeeltelijk succes of bij mislukking.
COMB_ACCE_WARNING_MESSAGE1	De bron wordt vernietigd bij een volledig of gedeeltelijk succes.
COMB_ACCE_WARNING_MESSAGE2	De overdracht kan mislukken.
COMB_ACCE_WARNING_MESSAGE3	De absorberingswaarde van het doel-item zal verminderd worden bij een gedeeltelijk succes of bij mislukking.
COMB_ACCE_WILL_REMOVE_MATERIAL	De bron wordt vernietigd bij een volledig of gedeeltelijk succes.
COMB_ALREADY_APPEND	Dit item is al geselecteerd.
COMB_CANT_APPEND_ITEM	Dit item kan niet gebruikt worden.
COMB_CANT_APPEND_SEALED_ITEM	Je kunt geen zielsgebonden items gebruiken.
COMB_CANT_BASE_ITEM	Een gordel die al een bonus heeft kan niet als doel gebruikt worden.
COMB_CANT_MATCH_DRAINRATE	De absorberingswaarde van beide items moet identiek zijn voor een bonusoverdracht.
COMB_CANT_MATCH_GRADE	De kwaliteit van beide items moet identiek zijn voor een bonusoverdracht.
COMB_CANT_MATERIAL_ITEM	Het bron-item moet een bonus hebben.
COMB_COST	Prijs: %s
COMB_IS_CONTINUE_PROCESS	Wil je doorgaan?
COMB_NOTICE	Je kunt geen privé warenhuis openen wanneer je boeken aan het verhandelen bent.
COMB_NOTICE_NOT_OPEN	Je kunt geen boeken verhandelen als je een privé warenhuis open hebt staan.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Je hebt een bron- en doel-item nodig plus het item voor de overdracht om bonussen over te kunnen dragen.
COMB_NOT_FULL_BOOK	Nee, zo doen we geen zaken. Zoals ik al zei: ik sta alleen open om te handelen als je 10 boeken in te ruilen hebt.
COMB_NOT_ITEM_IN_INVENTORY	Je kunt geen items gebruiken die je aan hebt.
COMB_NOT_MEDIUM_ITEM	Dit item kan niet gebruikt worden.
COMB_WILL_REMOVE_MATERIAL	Het bron-item wordt vernietigd bij succes.
CREATE_ERROR_GM_NAME	Het is niet toegestaan om ,GM‘ in je karakter naam te gebruiken.	
CREATE_ERROR_INSULT_NAME	Deze naam is ongeldig.	
CREATE_ERROR_LIMIT_LEVEL	Jouw karakter moet minstens level 80 zijn.
CREATE_ERROR_TIME_LIMIT	Je kunt slechts één karakter per 30 seconden aanmaken.
CREATE_ERROR_WRONG_STRING	Deze karakternaam is ongeldig.
CREATE_EXIST_SAME_NAME	Een ander karakter gebruikt deze naam.	
CREATE_FAILURE	Je kunt niet nog een karakter aanmaken.	
CREATE_FULL	Je kunt niet meer karakters aanmaken.
CREATE_GM_NAME	GM	
CREATE_INPUT_NAME	Voer de naam in.	
CREATE_PLUS_STAT	Er zijn nog status punten over.	
CUBE_CATEGORY_ACCESSORY	Sieraden
CUBE_CATEGORY_ARMOR	Pantser
CUBE_CATEGORY_BELT	Riemen
CUBE_CATEGORY_ETC	Etc.
CUBE_CATEGORY_EVENT	Evenement
CUBE_CATEGORY_WEAPON	Wapen
CUBE_MAKE_CONFIRM_QUESTION_1	Tenminste één van de gebruikte items is uiterst waardevol (het heeft meer dan %d bonussen).
CUBE_MAKE_CONFIRM_QUESTION_2	Wil je echt doorgaan?
CUBE_NOT_ENOUGH_GOLD	Onvoldoende Yang voor productie/smeden.
CUBE_NOT_ENOUGH_MATERIAL	Onvoldoende materiaal voor het smeden.
CUBE_PLEASE_SELECT	Er zijn geen items geselecteerd.
CZ_REWARD_QUESTION_COMPLETE	Wil je deze plaats inwisselen?
CZ_REWARD_TOOLTIP_10GAN	Zodiac Embleem
CZ_REWARD_TOOLTIP_10GAN_COUNT	Nummer in inventaris
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Vereist aantal
CZ_REWARD_TOOLTIP_12ZI	Wachter Embleem
CZ_REWARD_TOOLTIP_12ZI_COUNT	Nummer in inventaris
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Vereist aantal
CZ_REWARD_TOOLTIP_ALL_BOX	Astrale Schat
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Klik hier om jouw Astrale Schat als beloning op te halen.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Klik hier om jouw Aventurine Schat als beloning op te halen.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Klik hier om jouw Aureolin Schat als beloning op te halen.
CZ_REWARD_TOOLTIP_COMPLETABLE	Inwisselen
CZ_REWARD_TOOLTIP_GREEN_BOX	Aventurine Schat
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Ingewisselde Aventurine Schatten: %d
CZ_REWARD_TOOLTIP_WEEKLY	Dag
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Vrijdag
CZ_REWARD_TOOLTIP_WEEKLY_MON	Maandag
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Zaterdag
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Zaterdag/Zondag
CZ_REWARD_TOOLTIP_WEEKLY_THU	Donderdag
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Dinsdag
CZ_REWARD_TOOLTIP_WEEKLY_WED	Woensdag
CZ_REWARD_TOOLTIP_YELLOW_BOX	Aureolin Schat
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Ingewisselde Aureolin Schatten: %d
DAY	d
DETAILS_1	Kr. tegen Halfmensen
DETAILS_10	Kr. tegen Woest. Mon
DETAILS_11	Kr. tegen Insecten
DETAILS_12	Aanvalswaarde
DETAILS_13	Verdedigingswaarde
DETAILS_14	Gemiddelde Schade
DETAILS_15	Gem. Schade Weerst.
DETAILS_16	Vaardigheden Schade
DETAILS_17	Vaardig. Schade Weerstand
DETAILS_18	Magische/Fys. Aanval
DETAILS_19	Magische Aanval
DETAILS_2	Weerst. tg. Halfmens
DETAILS_20	Kritieke Slag Kans
DETAILS_21	Perforerende Slag
DETAILS_22	Kritieke Slag Weerst
DETAILS_23	Perf. Slag Weerst.
DETAILS_24	Bliksem Weerstand
DETAILS_25	IJs Weerstand
DETAILS_26	Duisternis Weerstand
DETAILS_27	Vuur Weerstand
DETAILS_28	Wind Weerstand
DETAILS_29	Aarde Weerstand
DETAILS_3	Sterk tegen Orks
DETAILS_30	Kracht van Bliksem
DETAILS_31	Kracht van IJs
DETAILS_32	Kracht van Duistern.
DETAILS_33	Kracht van Vuur
DETAILS_34	Kracht van de Wind
DETAILS_35	Kracht van Aarde
DETAILS_36	Sterk tegen Krijgers
DETAILS_37	Sterk tegen Ninja's
DETAILS_38	Sterk tegen Sura's
DETAILS_39	Sterk tegen Sjamanen
DETAILS_4	Sterk tegen Ondoden
DETAILS_40	Sterk tegen Lycanen
DETAILS_41	Verd. tegen Krijgers
DETAILS_42	Verd. tegen Ninja's
DETAILS_43	Verd. tegen Sura's
DETAILS_44	Verd. tegen Sjamanen
DETAILS_45	Verd. tegen Lycanen
DETAILS_46	Zwaard Verdediging
DETAILS_47	Twee-handig Verd.
DETAILS_48	Dolk Verdediging
DETAILS_49	Klauw Verdediging
DETAILS_5	Sterk tegen Monsters
DETAILS_50	Bel Verdediging
DETAILS_51	Waaier Verdediging
DETAILS_52	Pijl Verdediging
DETAILS_53	Flauwvalkans
DETAILS_54	Langzaam maken Kans
DETAILS_55	Vergiftigingskans
DETAILS_56	Gif Weerstand
DETAILS_57	Bloedingsaanval
DETAILS_58	Bloedingsaanval Wst.
DETAILS_59	LP Stelen
DETAILS_6	Kr. tegen Zodiac Mon
DETAILS_60	TP Stelen
DETAILS_61	LP Herstel
DETAILS_62	TP Herstel
DETAILS_63	Blokkeer Aanval
DETAILS_64	Ontwijk Pijlaanval
DETAILS_65	Weerkaats Fys. Aanv.
DETAILS_66	LP Herstel bij Doden
DETAILS_67	TP Herstel bij Doden
DETAILS_68	Dubbel ERV
DETAILS_69	Dubbel Yang
DETAILS_7	Sterk tegen Dieren
DETAILS_70	Drop Kans
DETAILS_71	Aanvalswaarde
DETAILS_72	Verdedigingswaarde
DETAILS_73	ERV
DETAILS_74	Drop Kans
DETAILS_75	Dubbel Yang
DETAILS_76	Magie Weerstand
DETAILS_77	Anti-Magie
DETAILS_8	Sterk tegen Esoteri.
DETAILS_9	Sterk tegen Duivels
DETAILS_ATTBONUS_BELL	Belbreuk
DETAILS_ATTBONUS_BOW	Pijlbreuk
DETAILS_ATTBONUS_CLAW	Klauwbreuk
DETAILS_ATTBONUS_DAGGER	Dolkbreuk
DETAILS_ATTBONUS_FAN	Waaierbreuk
DETAILS_ATTBONUS_SWORD	Zwaardbreuk
DETAILS_ATTBONUS_TWOHAND	Tweehandsbreuk
DETAILS_CATE_1	Schade/Verdediging
DETAILS_CATE_2	Elementale bonus
DETAILS_CATE_3	Klasse bonus
DETAILS_CATE_4	Wapenbonus
DETAILS_CATE_5	Overige bonus
DETAILS_CATE_6	Speciale bonus
DETAILS_RESIST_MOUNT_FALL	Valweerstand
DETAILS_TITLE	Details
DETAILS_TOOLTIP_1	Sterk tegen Halfmensen: Brengt zwaardere schade toe aan Halfmensen.
DETAILS_TOOLTIP_10	Sterk tegen Woestijn Monsters: Brengt zwaardere schade toe aan woestijnmonsters.
DETAILS_TOOLTIP_11	Sterk tegen Insecten: Brengt zwaardere schade toe aan insecten.
DETAILS_TOOLTIP_12	Verhoogt je aanvalswaarde
DETAILS_TOOLTIP_13	Verhoogt je verdedigingswaarde
DETAILS_TOOLTIP_14	Verhoogt de gemiddelde schade die je aan vijanden toebrengt bij een aanval.
DETAILS_TOOLTIP_15	Weerstand tegen gemiddelde schade: vermindert de schade die je oploopt bij een aanval.
DETAILS_TOOLTIP_16	Verhoogt de schade toegebracht door een vaardigheid.
DETAILS_TOOLTIP_17	Weerstand tegen vaardigheden schade: Vermindert de schade die je toegebracht wordt door een vaardigheid.
DETAILS_TOOLTIP_18	Verhoogt zowel je fysieke als magische aanvalswaarde.
DETAILS_TOOLTIP_19	Verhoogt de schade die je aan vijanden toebrengt bij een magische aanval.
DETAILS_TOOLTIP_2	Weerstand tegen Halfmensen: Vermindert de schade die je oploopt van Halfmensen.
