ACCE_ABSORB_COST	Стоимость поглощения: %d
CANNOT_SKILL_APPROACH	Я уверен, что не могу подойти ближе.
CANNOT_SKILL_ATTACK	Я не могу атаковать.
CANNOT_SKILL_BLUE	Пока активирована Огненная душа волка, Небесную душу волка активировать невозможно.
CANNOT_SKILL_DEST_IN_SAFE	Противник слишком далеко.
CANNOT_SKILL_EQUIP_FISHING_ROD	Без выбранного удилища рыбы не поймать.
CANNOT_SKILL_HAVE_TO_RIDE	Мне нужен конь, чтобы применить это.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	У меня нет пустого кувшина.
CANNOT_SKILL_NEED_POISON_BOTTLE	У меня нет кувшина с ядом.
CANNOT_SKILL_NEED_TARGET	Кто цель?
CANNOT_SKILL_NOT_ENOUGH_HP	Мне не хватает ХП!
CANNOT_SKILL_NOT_ENOUGH_SP	Мне не хватает MП!
CANNOT_SKILL_NOT_HORSE_SKILL	Я не могу применить это, когда я на коне.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Я не могу применить этот навык, пользуясь этим оружием.
CANNOT_SKILL_NOT_YET_LEARN	Я не изучил этот Навык.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Это распространяется только на участников группы.
CANNOT_SKILL_ONLY_FOR_CORPSE	Это распространяется только на убитых.
CANNOT_SKILL_RED	Пока активирована Небесная душа волка, Огненную душу волка активировать невозможно.
CANNOT_SKILL_REMOVE_FISHING_ROD	Я не могу применить этот навык, пользуясь удочкой.
CANNOT_SKILL_SELF_IN_SAFE	Я не могу атаковать противника с этой позиции.
CANNOT_SKILL_USE_SELF	Я не могу применить это на себе.
CANNOT_SKILL_WAIT_COOLTIME	Я пока не могу пользоваться этим навыком.
CANNOT_USE	Использовать его невозможно.
CANNOT_WHISPER_DEST_REFUSE	%s шептание заблокировано.	SA
CANNOT_WHISPER_NOT_LOGON	%s вне сети.	SA
CANNOT_WHISPER_SELF_REFUSE	Вы не можете использовать режим шепнуть, полностью блокировав его.	SNA
CATEGORY_ARMOR_ARMOR_BODY	Доспехи
CATEGORY_ARMOR_ARMOR_HEAD	Шлемы
CATEGORY_ARMOR_ARMOR_SHIELD	Щиты
CATEGORY_COSTUMES	Костюмы
CATEGORY_COSTUMES_COSTUME_BODY	Костюмы
CATEGORY_COSTUMES_COSTUME_HAIR	Прически
CATEGORY_COSTUMES_COSTUME_WEAPON	Облики оружия
CATEGORY_COSTUMES_ETC	Прочее
CATEGORY_COSTUMES_SASH	Шарфы
CATEGORY_DRAGON_STONE	Алхимия камней дракона
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Алмаз
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Гранат
CATEGORY_DRAGON_STONE_DRAGON_JADE	Нефрит
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Оникс
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Рубин
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Сапфир
CATEGORY_DRAGON_STONE_ETC	Прочее
CATEGORY_EQUIPMENT_ARMOR	Снаряжение
CATEGORY_EQUIPMENT_JEWELRY	Украшения
CATEGORY_EQUIPMENT_WEAPON	Оружия
CATEGORY_ETC	Прочее
CATEGORY_ETC_ETC	Прочее
CATEGORY_ETC_EVENT	Предметы для эвентов
CATEGORY_ETC_GIFTBOX	Ларцы | Шкатулки
CATEGORY_ETC_MATRIMORY	Свадьба
CATEGORY_ETC_PARTI	Книги боевых искуств
CATEGORY_ETC_POLYMORPH	Шары полиморфа
CATEGORY_ETC_RECIPE	Изготовление зелий
CATEGORY_ETC_SEAL	Оковы души
CATEGORY_FISHING_PICK	Рыболовство | Горное дело
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Кирки
CATEGORY_FISHING_PICK_ETC	Прочее
CATEGORY_FISHING_PICK_FISHING_POLE	Удилища
CATEGORY_FISHING_PICK_FOOD	Рыба
CATEGORY_FISHING_PICK_PICK_BOOK	Книги горного ремесла
CATEGORY_FISHING_PICK_STONE	Руда
CATEGORY_JEWELRY_ARMOR_EAR	Серьги
CATEGORY_JEWELRY_ARMOR_FOOTS	Обувь
CATEGORY_JEWELRY_ARMOR_NECK	Ожерелья
CATEGORY_JEWELRY_ARMOR_PENDANT	Талисман
CATEGORY_JEWELRY_ARMOR_WRIST	Браслеты
CATEGORY_JEWELRY_ITEM_BELT	Пояса
CATEGORY_MOUNT_PET	Ездовые животные | Питомцы
CATEGORY_MOUNT_PET_CHARGED_PET	Питомцы
CATEGORY_MOUNT_PET_EGG	Яйца питомцев
CATEGORY_MOUNT_PET_FREE_PET	Питомцы со способностью повышения уровня
CATEGORY_MOUNT_PET_MOUNT	Ездовые животные
CATEGORY_POTION	Зелья
CATEGORY_POTION_ABILITY	Расходные материалы
CATEGORY_POTION_ETC	Прочее
CATEGORY_POTION_HAIRDYE	Краска для волос
CATEGORY_SKILL	Навыки
CATEGORY_SKILL_BOOK_OF_OBLIVION	Книги забвения
CATEGORY_SKILL_ETC	Прочее
CATEGORY_SKILL_PAHAE	Контратака | Усиление
CATEGORY_SKILL_SKILL_BOOK	Книги навыков
CATEGORY_TUNING	Улучшения
CATEGORY_TUNING_ETC	Прочее
CATEGORY_TUNING_RESOURCE	Материалы
CATEGORY_TUNING_STONE	Камни духов
CATEGORY_UNIQUE	Особые предметы
CATEGORY_UNIQUE_ABILITY	Расходные материалы
CATEGORY_UNIQUE_ETC	Прочее
CATEGORY_WEAPON_WEAPON_ARROW	Стрелы
CATEGORY_WEAPON_WEAPON_BELL	Колокольчики
CATEGORY_WEAPON_WEAPON_BOW	Луки
CATEGORY_WEAPON_WEAPON_CLAW	Когти
CATEGORY_WEAPON_WEAPON_DAGGER	Кинжалы
CATEGORY_WEAPON_WEAPON_FAN	Веера
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Копья
CATEGORY_WEAPON_WEAPON_QUIVER	Колчаны
CATEGORY_WEAPON_WEAPON_SWORD	Одноручные оружия
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Двуручные оружия
CHANGE_ALREADY_REGISTER	[Отображение] Этот предмет уже зарегистрирован.
CHANGE_LOOK_CHANGE_ITEM	Хотите применить Отображение для предмета?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Отображение] Сначала уберите предмет, для которого следует применить Отображение.
CHANGE_LOOK_COST	Цена за Отображение: %s янг
CHANGE_LOOK_DEL_ITEM	Использованный предмет пропадает.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Отображение] На предмет нельзя применить Отображение.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Отображение] Нельзя применять Отображение на снаряженный предмет.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Отображение] Предмет нельзя зарегистрировать.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Отображение] Предмет зачарован оковами души.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Отображение] Зарегистрируйте предмет, для которого хотите применить Отображение.
CHANGE_LOOK_INSERT_ITEM	[Отображение] Сначала нужно зарегистрировать предмет.
CHANGE_LOOK_NEED_MONEY	У вас не хватает либо янг, либо предметов.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Отображение] Невозможно выполнить действие при открытом окне «Отображение».
CHANGE_LOOK_TITLE	Отображение
CHANGE_LOOK_TITLE2	Преображение ездового животного
CHANGE_PET_PLEASE_APPEND_FIRST	Сначала нужно выбрать питомца.
CHANGE_TOOLTIP2_LINE1	Приложите слева целевой предмет, а справа материал.
CHANGE_TOOLTIP2_LINE2	Нажмите на галочку, чтобы использовать янг или марку преображения и изменить внешний вид ездового животного.
CHANGE_TOOLTIP2_LINE3	Марка преображения меняет внешний вид ездового животного, не расходуя янг. (Марка при этом уничтожается)
CHANGE_TOOLTIP2_LINE4	Если изменяется внешний вид ездового животного со сроком действия, исходный срок действия остается.
CHANGE_TOOLTIP2_LINE5	В случае, если целевое ездовое животное – постоянное, а у животного-материала есть срок действия, измененный внешний вид сохранится на срок действия животного-материала.
CHANGE_TOOLTIP_LINE1	Положите предмет, на который будет наложено Отображение, слева.
CHANGE_TOOLTIP_LINE2	Положите второй предмет справа.
CHANGE_TOOLTIP_LINE3	Облик предмета слева изменится, когда вы подтвердите
CHANGE_TOOLTIP_LINE4	Отображение (V) и с вашего счета спишутся янг.
CHANGE_TOOLTIP_LINE5	Использовав этот предмет,
CHANGE_TOOLTIP_LINE6	вы можете применить Отображение не используя янг.
CHANGE_TOOLTIP_TITLE	Отображение
CHANNEL	Канал
CHANNELING_CANNOT_LOGOUT	Выход обратно к окну регистрации невозможен.
CHANNEL_EMPTY_SERVER	Сервер отсутствует.
CHANNEL_NORMAL	Канал %d
CHANNEL_NOTIFY_FULL	Этот канал перегружен.  Пожалуйста выберите другой.
CHANNEL_NOT_FIND_INFO	Вы не можете получить информацию на этом канале.
CHANNEL_PVP	Свободный поединок
CHANNEL_SELECT_CHANNEL	Выберите канал
CHANNEL_SELECT_REGION	Выберите регион.
CHANNEL_SELECT_SERVER	Выбрать сервер
CHANNEL_STATUS_BUSY	Сильно загружен
CHANNEL_STATUS_FULL	Заполнен
CHANNEL_STATUS_OFFLINE	Неизвестно
CHANNEL_STATUS_RECOMMENDED	Рекомендуется
CHANNEL_STATUS_VACANT	Слабо загружен
CHANNEL_TEST_SERVER	Тестовый сервер
CHANNEL_TEST_SERVER_ADDR	Тест %s:%d
CHARACTER_CREATE_MODE	Создание персонажа
CHARACTER_NAME	Название
CHARACTER_SELECT_MODE	Выбор персонажа
CHARGE_BEAD_QUESTION	Нужны анимасферы: %d. Хотите продолжить?
CHAT_ALL	Все
CHAT_BLOCK	Заблокировать
CHAT_DICE_INFO	Бросок
CHAT_GUILD	Гильдия
CHAT_INFORMATION	Инфо
CHAT_INSULT_STRING	Фраза содержит недопустимые слова.
CHAT_LOG	Показывать все сообщения [L]
CHAT_LOG_TITLE	Показать лог чата.
CHAT_NORMAL	Норм.
CHAT_NOTICE	Сервер
CHAT_PARTY	Группа
CHAT_SEND_CHAT	Отправить
CHAT_SEND_MEMO	Шепнуть [Shift+Enter]
CHAT_SHOUT	Крикнуть
CHAT_SHOUT_LIMIT	Крикнуть можно только один раз в 15 секунд.
CHAT_WHISPER	Шепнуть
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Вы не можете выбросить деньги.
CHEQUE_SYSTEM_PICK_WON	Получено %d вон.
CHEQUE_SYSTEM_SELL_PRICE	[Розничная цена]
CHEQUE_SYSTEM_UNIT_WON	Воны
CHEQUE_SYSTEM_UNIT_YANG	Янг
CHEQUE_SYSTEM_WON	%s вон
CHEQUE_SYSTEM_YANG	%s янг
CLEAR_FLOOR	Этаж
CLEAR_TIME	Время
ClosePetChangeWndButton	Закрыть
COMB_ACCE_IS_CONTINUE_PROCESS	Хотите продолжить?
COMB_ACCE_WARNING_MESSAGE	При успехе или частичном успехе исходник уничтожается. Передача может не удаться. При неудаче или частичном успехе доля поглощения адресата уменьшается.
COMB_ACCE_WARNING_MESSAGE1	При успехе или частичном успехе исходник уничтожается.
COMB_ACCE_WARNING_MESSAGE2	Передача может не удаться.
COMB_ACCE_WARNING_MESSAGE3	При неудаче или частичном успехе доля поглощения адресата уменьшается.
COMB_ACCE_WILL_REMOVE_MATERIAL	При успехе или частичном успехе исходник уничтожается.
COMB_ALREADY_APPEND	Этот предмет уже выбран.
COMB_CANT_APPEND_ITEM	Этот предмет невозможно использовать.
COMB_CANT_APPEND_SEALED_ITEM	Предмет зачарованный оковами души невозможно использовать.
COMB_CANT_BASE_ITEM	Шарф, у которого уже есть бонус, не может быть адресатом.
COMB_CANT_MATCH_DRAINRATE	Для передачи бонуса у обоих предметов должна быть одинаковая доля поглощения.
COMB_CANT_MATCH_GRADE	Для передачи бонуса оба предмета должны быть одинакового качества.
COMB_CANT_MATERIAL_ITEM	У исходного предмета должен быть бонус.
COMB_COST	Цена: %s
COMB_IS_CONTINUE_PROCESS	Желаете продолжить?
COMB_NOTICE	Во время обмена книг открыть свою лавку невзоможно.
COMB_NOTICE_NOT_OPEN	Обмен книг невозможен пока у вас открыта лавка.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Для передачи бонусов вам нужны предмет-исходник, предмет-адресат и предмет для перемещения.
COMB_NOT_FULL_BOOK	Нет, так сделка не получится. Как я уже говорил, для обмена вы должны принести 10 книг.
COMB_NOT_ITEM_IN_INVENTORY	Вы не можете использовать снаряженные предметы.
COMB_NOT_MEDIUM_ITEM	Этот предмет невозможно использовать.
COMB_WILL_REMOVE_MATERIAL	Исходник в случае успеха уничтожается.
CREATE_ERROR_GM_NAME	Имя персонажа не должно содержать ,ГМ‘ .
CREATE_ERROR_INSULT_NAME	Это имя недопустимо.
CREATE_ERROR_LIMIT_LEVEL	Ваш персонаж должен достигнуть как минимум 80 уровня.
CREATE_ERROR_TIME_LIMIT	Создание персонажа возможно лишь каждые 30 сек.
CREATE_ERROR_WRONG_STRING	Недопустимое имя персонажа.
CREATE_EXIST_SAME_NAME	Персонаж с таким именем уже существует.
CREATE_FAILURE	Создание персонажа невозможно.
CREATE_FULL	Создание дальнейших персонажей невозможно.
CREATE_GM_NAME	ГМ
CREATE_INPUT_NAME	Введите имя.
CREATE_PLUS_STAT	Очки статуса пока доступны.
CUBE_CATEGORY_ACCESSORY	Украшения
CUBE_CATEGORY_ARMOR	Броня
CUBE_CATEGORY_BELT	Пояса
CUBE_CATEGORY_ETC	Прочее
CUBE_CATEGORY_EVENT	Событие
CUBE_CATEGORY_WEAPON	Оружие
CUBE_MAKE_CONFIRM_QUESTION_1	Хотя бы один используемый предмет крайне ценный (у него больше %d бонусов).
CUBE_MAKE_CONFIRM_QUESTION_2	Вы точно хотите продолжить?
CUBE_NOT_ENOUGH_GOLD	Не хватает янг для изготовления.
CUBE_NOT_ENOUGH_MATERIAL	Не хватает материала для изготовления.
CUBE_PLEASE_SELECT	Предметы не выбраны.
CZ_REWARD_QUESTION_COMPLETE	Вы хотите получить это поле?
CZ_REWARD_TOOLTIP_10GAN	Зодиак-регалии
CZ_REWARD_TOOLTIP_10GAN_COUNT	Число в инвентаре
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Нужное число
CZ_REWARD_TOOLTIP_12ZI	Регалии стражников
CZ_REWARD_TOOLTIP_12ZI_COUNT	Число в инвентаре
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Нужное число
CZ_REWARD_TOOLTIP_ALL_BOX	Звездное сокровище
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Нажмите сюда, чтобы получить в награду Звездное сокровище.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Нажмите сюда, чтобы получить в награду Авантюриновое сокровище.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Нажмите сюда, чтобы получить в награду Ауреолиновое сокровище.
CZ_REWARD_TOOLTIP_COMPLETABLE	Получить
CZ_REWARD_TOOLTIP_GREEN_BOX	Авантюриновое сокровище
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Авантюриновых сокровищ получено: %d
CZ_REWARD_TOOLTIP_WEEKLY	День
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Пятница
CZ_REWARD_TOOLTIP_WEEKLY_MON	Понедельник
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Суббота
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Суббота/Воскресенье
CZ_REWARD_TOOLTIP_WEEKLY_THU	Четверг
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Вторник
CZ_REWARD_TOOLTIP_WEEKLY_WED	Среда
CZ_REWARD_TOOLTIP_YELLOW_BOX	Ауреолиновое сокровище
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Ауреолиновых сокровищ получено: %d
DAY	Д
DETAILS_1	Сила пр. полулюдей
DETAILS_10	Сила пр монстр.пуст.
DETAILS_11	Сила пр. насекомых
DETAILS_12	Показатель атаки
DETAILS_13	Показатель защиты
DETAILS_14	Средн. уровень урона
DETAILS_15	Сопр ср. ур-ню урона
DETAILS_16	Урон от навыков
DETAILS_17	Сопротивл. урону навыков
DETAILS_18	Магич./физич. атака
DETAILS_19	Магическая атака
DETAILS_2	Сопр. полулюдям
DETAILS_20	Шанс крит. удара
DETAILS_21	Пронз. удар
DETAILS_22	Сопр. крит. удару
DETAILS_23	Сопр. пронз. удару
DETAILS_24	Сопр-ть молниям
DETAILS_25	Сопр-ть льду
DETAILS_26	Сопр-ть тьме
DETAILS_27	Сопр-ть огню
DETAILS_28	Сопр-ть ветру
DETAILS_29	Сопр-ть земле
DETAILS_3	Сила против орков
DETAILS_30	Сила молний
DETAILS_31	Сила льда
DETAILS_32	Сила тьмы
DETAILS_33	Сила огня
DETAILS_34	Сила ветра
DETAILS_35	Сила земли
DETAILS_36	Сила против Воинов
DETAILS_37	Сила против Ниндзя
DETAILS_38	Сила против Сур
DETAILS_39	Сила против Шаманов
DETAILS_4	Сила против нежити
DETAILS_40	Сила против Ликанов
DETAILS_41	Защита против Воинов
DETAILS_42	Защита против Ниндзя
DETAILS_43	Защита против Сур
DETAILS_44	Защита пр. Шаманов
DETAILS_45	Защита пр. Ликанов
DETAILS_46	Защита от уд. мечом
DETAILS_47	Защ. от двуруч.оруж.
DETAILS_48	Защ. от удара кинж.
DETAILS_49	Защита от когтей
DETAILS_5	Сила против монстров
DETAILS_50	Защ. от удара колок.
DETAILS_51	Защ. от удара веером
DETAILS_52	Защита от стрел
DETAILS_53	Шанс на головокруж.
DETAILS_54	Шанс на замедление
DETAILS_55	Шанс на отравление
DETAILS_56	Сопр-ть яду
DETAILS_57	Атака с кровотеч.
DETAILS_58	Сопр. ат. с кровотеч
DETAILS_59	Кража жизни
DETAILS_6	Сила пр. зодиак-мон.
DETAILS_60	Кража МП
DETAILS_61	Восстановление ХП
DETAILS_62	Восстановление МП
DETAILS_63	Блокировать атаку
DETAILS_64	Уклониться от стрел
DETAILS_65	Отражение физ. атаки
DETAILS_66	Восст ХП при убийст.
DETAILS_67	Восст МП при убийст.
DETAILS_68	Двойной опыт
DETAILS_69	Двойные янг
DETAILS_7	Сила против зверей
DETAILS_70	Шанс добычи
DETAILS_71	Показатель атаки
DETAILS_72	Защита
DETAILS_73	Опыт
DETAILS_74	Шанс добычи
DETAILS_75	Двойные янг
DETAILS_76	Сопр-ть магии
DETAILS_77	Рассеивание магии
DETAILS_8	Сила против мистиков
DETAILS_9	Сила против дьяволов
DETAILS_ATTBONUS_BELL	Надлом против колокольчиков
DETAILS_ATTBONUS_BOW	Надлом против стрел
DETAILS_ATTBONUS_CLAW	Надлом против когтей
DETAILS_ATTBONUS_DAGGER	Надлом против кинжалов
DETAILS_ATTBONUS_FAN	Надлом против вееров
DETAILS_ATTBONUS_SWORD	Надлом против мечей
DETAILS_ATTBONUS_TWOHAND	Надлом против двуручного оружия
DETAILS_CATE_1	Урон/защита
DETAILS_CATE_2	Стихийные бонусы
DETAILS_CATE_3	Бонусы класса
DETAILS_CATE_4	Бонусы оружия
DETAILS_CATE_5	Прочие бонусы
DETAILS_CATE_6	Особые бонусы
DETAILS_RESIST_MOUNT_FALL	Сопротивляемость падению
DETAILS_TITLE	Детали
DETAILS_TOOLTIP_1	Сила против полулюдей: вы наносите больший урон полулюдям.
DETAILS_TOOLTIP_10	Сила против монстров пустыни: вы наносите больше урона монстрам пустыни.
DETAILS_TOOLTIP_11	Сила против насекомых: вы наносите больше урона насекомым.
DETAILS_TOOLTIP_12	Повышает показатель атаки.
DETAILS_TOOLTIP_13	Повышает показатель защиты.
DETAILS_TOOLTIP_14	Повышает средний уровень урона, который вы наносите врагам при атаке.
DETAILS_TOOLTIP_15	Сопротивляемость среднему уровню урона: снижает получаемый урон при атаке на вас.
DETAILS_TOOLTIP_16	Повышает урон, наносимый навыками.
DETAILS_TOOLTIP_17	Сопротивляемость урону от навыков: снижает получаемый от навыков урон.
DETAILS_TOOLTIP_18	Повышает показатели и магической, и физической атаки.
DETAILS_TOOLTIP_19	Повышает урон, который вы наносите при магической атаке.
DETAILS_TOOLTIP_2	Сопротивляемость полулюдям: снижает получаемый от полулюдей урон.
DETAILS_TOOLTIP_20	Повышает шанс нанести критический удар.
DETAILS_TOOLTIP_21	Шанс на пронзающий удар: увеличивает шанс нанести пронзающий удар.
DETAILS_TOOLTIP_22	Сопротивляемость критическим ударам: снижает урон от критических ударов.
DETAILS_TOOLTIP_23	Сопротивляемость пронзающим ударам: снижает урон от пронзающих ударов.
DETAILS_TOOLTIP_24	Снижает получаемый от определенных монстров урон.
DETAILS_TOOLTIP_25	Снижает получаемый от определенных монстров урон.
DETAILS_TOOLTIP_26	Сопротивляемость тьме: снижает получаемый от определенных монстров урон.
DETAILS_TOOLTIP_27	Снижает получаемый от определенных монстров урон.
DETAILS_TOOLTIP_28	Снижает получаемый от определенных монстров урон.
DETAILS_TOOLTIP_29	Снижает получаемый от определенных монстров урон.
DETAILS_TOOLTIP_3	Сила против орков: вы наносите больше урона оркам.
DETAILS_TOOLTIP_30	Силой молнии повышает урон, который вы наносите.
DETAILS_TOOLTIP_31	Силой льда повышает урон, который вы наносите.
DETAILS_TOOLTIP_32	Силой тьмы повышает урон, который вы наносите.
DETAILS_TOOLTIP_33	Силой огня повышает урон, который вы наносите.
DETAILS_TOOLTIP_34	Силой ветра повышает урон, который вы наносите.
DETAILS_TOOLTIP_35	Силой земли повышает урон, который вы наносите.
DETAILS_TOOLTIP_36	Сила против воинов: вы наносите больше урона воинам.
DETAILS_TOOLTIP_37	Сила против ниндзя: вы наносите больше урона ниндзя.
DETAILS_TOOLTIP_38	Сила против сур: вы наносите больше урона сурам.
DETAILS_TOOLTIP_39	Сила против шаманов: вы наносите больше урона шаманам.
DETAILS_TOOLTIP_4	Сила против нежити: вы наносите больше урона нежити.
DETAILS_TOOLTIP_40	Сила против ликанов: вы наносите больше урона ликанам.
DETAILS_TOOLTIP_41	Шанс на отражение атак воинов: снижает получаемый от воинов урон.
DETAILS_TOOLTIP_42	Шанс на отражение атак ниндзя: снижает получаемый от ниндзя урон.
DETAILS_TOOLTIP_43	Шанс на отражение атак сур: снижает получаемый от cур урон.
